run,bioproject,biosample,amikacin,ciprofloxacin,capreomycin,cycloserine,ethambutol,ethionamide,isoniazid,kanamycin,linezolid,moxifloxacin,ofloxacin,para-aminosalicylic_acid,rifampicin,rifabutin,streptomycin,pyrazinamide
ERR2307669,PRJEB24099,SAMEA104600448,,,,,R,,R,,,,,,R,,R,S
ERR2307670,PRJEB24099,SAMEA104600449,,,,,R,,R,,,,,,R,,R,S
ERR2307671,PRJEB24099,SAMEA104600450,,,,,R,,R,,,,,,R,,R,S
ERR2307672,PRJEB24099,SAMEA104600451,,,,,R,,R,,,,,,R,,R,
ERR2307673,PRJEB24099,SAMEA104600452,,,,,R,,R,,,,,,R,,R,S
ERR2307674,PRJEB24099,SAMEA104600453,,,,,R,,R,,,,,,R,,R,S
ERR2307675,PRJEB24099,SAMEA104600454,,,,,R,,R,,,,,,R,,R,R
SRR1144743,PRJNA229279,SAMN02414914,,,,,,,,,,,,,,,,
SRR1144778,PRJNA229280,SAMN02414915,,,,,,,,,,,,,,,,
SRR1162778,PRJNA229312,SAMN02414947,,,,,,,,,,,,,,,,
ERR2307676,PRJEB24099,SAMEA104600455,,,,,R,,R,,,,,,R,,R,R
ERR2307677,PRJEB24099,SAMEA104600456,,,,,R,,R,,,,,,R,,R,
ERR2307678,PRJEB24099,SAMEA104600457,,,,,R,,R,,,,,,R,,R,S
ERR2307679,PRJEB24099,SAMEA104600458,,,,,R,,R,,,,,,R,,R,R
ERR2307680,PRJEB24099,SAMEA104600459,,,,,R,,R,,,,,,R,,R,R
ERR2307681,PRJEB24099,SAMEA104600460,,,,,S,,S,,,,,,S,,S,S
ERR2307682,PRJEB24099,SAMEA104600461,,,,,R,,R,,,,,,R,,R,R
ERR2307683,PRJEB24099,SAMEA104600462,,,,,R,,R,,,,,,R,,R,R
ERR2307684,PRJEB24099,SAMEA104600463,,,,,R,,R,,,,,,R,,R,S
ERR2307685,PRJEB24099,SAMEA104600464,,,,,R,,R,,,,,,R,,R,S
ERR2307686,PRJEB24099,SAMEA104600465,,,,,R,,R,,,,,,R,,R,S
ERR2307687,PRJEB24099,SAMEA104600466,,,,,R,,R,,,,,,R,,R,S
ERR2307688,PRJEB24099,SAMEA104600467,,,,,R,,R,,,,,,R,,R,S
ERR2307689,PRJEB24099,SAMEA104600468,,,,,R,,R,,,,,,R,,R,R
ERR2307690,PRJEB24099,SAMEA104600469,,,,,R,,R,,,,,,R,,R,R
ERR2307691,PRJEB24099,SAMEA104600470,,,,,S,,R,,,,,,R,,R,R
ERR2307692,PRJEB24099,SAMEA104600471,,,,,R,,R,,,,,,R,,R,S
ERR2307693,PRJEB24099,SAMEA104600472,,,,,R,,R,,,,,,R,,R,S
ERR2307694,PRJEB24099,SAMEA104600473,,,,,R,,R,,,,,,R,,R,R
ERR2307695,PRJEB24099,SAMEA104600474,,,,,R,,R,,,,,,R,,R,R
ERR2307696,PRJEB24099,SAMEA104600475,,,,,R,,R,,,,,,R,,R,R
ERR2307697,PRJEB24099,SAMEA104600476,,,,,R,,R,,,,,,R,,R,R
ERR2307698,PRJEB24099,SAMEA104600477,,,,,R,,R,,,,,,R,,R,S
ERR2307699,PRJEB24099,SAMEA104600478,,,,,R,,R,,,,,,R,,R,R
ERR2307700,PRJEB24099,SAMEA104600479,,,,,R,,R,,,,,,R,,R,R
ERR2307701,PRJEB24099,SAMEA104600145,,,,,,,,,,,,,,,,
ERR2307702,PRJEB24099,SAMEA104600146,,,,,,,,,,,,,,,,
ERR2307703,PRJEB24099,SAMEA104600147,,,,,,,,,,,,,,,,
ERR2307704,PRJEB24099,SAMEA104600480,,,,,R,,R,,,,,,R,,R,
ERR2307705,PRJEB24099,SAMEA104600481,,,,,R,,R,,,,,,R,,R,S
ERR2307706,PRJEB24099,SAMEA104600482,,,,,R,,R,,,,,,R,,R,
ERR2307707,PRJEB24099,SAMEA104600483,,,,,R,,R,,,,,,R,,R,R
ERR2307708,PRJEB24099,SAMEA104600484,,,,,R,,R,,,,,,R,,R,R
ERR2307709,PRJEB24099,SAMEA104600485,,,,,R,,R,,,,,,R,,R,
ERR2307710,PRJEB24099,SAMEA104600486,,,,,R,,R,,,,,,R,,R,R
ERR2307711,PRJEB24099,SAMEA104600487,,,,,R,,R,,,,,,R,,R,R
ERR2307712,PRJEB24099,SAMEA104600488,,,,,R,,R,,,,,,R,,R,R
ERR2307713,PRJEB24099,SAMEA104600489,,,,,R,,R,,,,,,R,,R,R
ERR2307714,PRJEB24099,SAMEA104600490,,,,,R,,R,,,,,,R,,R,S
ERR2307715,PRJEB24099,SAMEA104600491,,,,,R,,R,,,,,,R,,R,R
ERR2307718,PRJEB24099,SAMEA104600493,,,,,R,,R,,,,,,R,,R,S
ERR2307719,PRJEB24099,SAMEA104600494,,,,,R,,R,,,,,,R,,R,R
ERR2307720,PRJEB24099,SAMEA104600148,,,,,,,,,,,,,,,,
ERR2307721,PRJEB24099,SAMEA104600149,,,,,,,,,,,,,,,,
ERR2307722,PRJEB24099,SAMEA104600495,,,,,R,,R,,,,,,R,,R,R
ERR2307723,PRJEB24099,SAMEA104600496,,,,,R,,R,,,,,,R,,R,R
ERR2307724,PRJEB24099,SAMEA104600497,,,,,R,,R,,,,,,R,,R,S
SRR1577830,PRJNA240163,SAMN02673330,,,,,,,,,,,,,,,,
SRR1166179,PRJNA234574,SAMN02584612,,,,,,,,,,,,,,,,
SRR1166118,PRJNA234620,SAMN02584652,,,,,,,,,,,,,,,,
