run,bioproject,study,biosample,sample,experiment,amikacin,bedaquiline,capreomycin,clofazimine,delamanid,ethionamide,ethambutol,isoniazid,kanamycin,levofloxacin,linezolid,moxifloxacin,pyrazinamide,rifampicin,streptomycin
ERR2517095,PRJEB26001,,,ERS2401772,ERX2536310,S,,S,,,,,R,S,S,,S,,R,
ERR2516820,PRJEB26001,,,ERS2401497,ERX2536035,S,,S,,,,S,R,S,S,,S,,R,
ERR2516953,PRJEB26001,,,ERS2401630,ERX2536168,S,,S,,,,S,R,S,S,,S,,R,
ERR2516788,PRJEB26001,,,ERS2401465,ERX2536003,S,,S,,,,R,R,R,R,,R,,R,
ERR2516893,PRJEB26001,,,ERS2401570,ERX2536108,S,,S,,,,,R,R,R,,R,,R,
ERR2516865,PRJEB26001,,,ERS2401542,ERX2536080,S,,S,,,,,R,S,S,,S,,R,
ERR2516800,PRJEB26001,,,ERS2401477,ERX2536015,S,,S,,,,,R,S,S,,S,,R,
ERR2516997,PRJEB26001,,,ERS2401674,ERX2536212,,,,,,,,R,,,,,,R,
ERR2516986,PRJEB26001,,,ERS2401663,ERX2536201,S,,S,,,,,R,S,R,,S,,R,
ERR2516826,PRJEB26001,,,ERS2401503,ERX2536041,S,,S,,,,,R,S,S,,S,,R,
ERR2516866,PRJEB26001,,,ERS2401543,ERX2536081,S,,S,,,,,R,S,S,,S,,R,
ERR2516973,PRJEB26001,,,ERS2401650,ERX2536188,S,,S,,,,R,R,S,S,,S,,R,
ERR2516759,PRJEB26001,,,ERS2401436,ERX2535974,S,,S,,,,,R,S,S,,S,,R,
ERR2517083,PRJEB26001,,,ERS2401760,ERX2536298,S,,S,,,,,R,S,S,,S,,R,
ERR2516770,PRJEB26001,,,ERS2401447,ERX2535985,S,,S,,,,,R,S,S,,S,,R,
ERR2516882,PRJEB26001,,,ERS2401559,ERX2536097,S,,S,,,,,R,S,S,,S,,R,
ERR2516927,PRJEB26001,,,ERS2401604,ERX2536142,S,,S,,,,,R,S,S,,S,,R,
ERR2517032,PRJEB26001,,,ERS2401709,ERX2536247,S,,S,,,,S,R,R,R,,R,,R,
ERR2517008,PRJEB26001,,,ERS2401685,ERX2536223,S,,S,,,,R,R,S,R,,R,,R,
ERR2516918,PRJEB26001,,,ERS2401595,ERX2536133,S,,S,,,,S,R,S,S,,S,,R,
ERR2516938,PRJEB26001,,,ERS2401615,ERX2536153,S,,S,,,,,R,S,S,,S,,R,
ERR2517073,PRJEB26001,,,ERS2401750,ERX2536288,S,,S,,,,S,,S,S,,S,,R,
ERR2517098,PRJEB26001,,,ERS2401775,ERX2536313,S,,S,,,,,R,R,S,,S,,R,
ERR2517009,PRJEB26001,,,ERS2401686,ERX2536224,S,,S,,,,,R,R,S,,S,,R,
ERR2517070,PRJEB26001,,,ERS2401747,ERX2536285,R,,R,,,,R,R,R,R,,R,,R,
ERR2516745,PRJEB26001,,,ERS2401422,ERX2535960,S,,S,,,,S,R,S,S,,S,,R,
ERR2516999,PRJEB26001,,,ERS2401676,ERX2536214,S,,S,,,,S,R,S,S,,S,,,
ERR2517080,PRJEB26001,,,ERS2401757,ERX2536295,S,,S,,,,,R,S,S,,S,,R,
ERR2516766,PRJEB26001,,,ERS2401443,ERX2535981,S,,S,,,,,R,S,S,,S,,R,
ERR2517049,PRJEB26001,,,ERS2401726,ERX2536264,S,,S,,,,,R,S,R,,R,,R,
ERR2517122,PRJEB26001,,,ERS2401799,ERX2536337,S,,S,,,,R,R,S,R,,R,,R,
ERR2516958,PRJEB26001,,,ERS2401635,ERX2536173,S,,S,,,,,R,S,S,,S,,R,
ERR2516907,PRJEB26001,,,ERS2401584,ERX2536122,S,,S,,,,,R,S,S,,S,,R,
ERR2516944,PRJEB26001,,,ERS2401621,ERX2536159,S,,S,,,,S,R,S,S,,S,,R,
ERR2517015,PRJEB26001,,,ERS2401692,ERX2536230,S,,S,,,,,R,S,S,,S,,R,
ERR2517108,PRJEB26001,,,ERS2401785,ERX2536323,S,,S,,,,R,R,R,R,,R,,R,
ERR2516987,PRJEB26001,,,ERS2401664,ERX2536202,S,,S,,,,S,R,S,S,,S,,R,
ERR2516747,PRJEB26001,,,ERS2401424,ERX2535962,S,,S,,,,,R,S,S,,S,,R,
ERR2516954,PRJEB26001,,,ERS2401631,ERX2536169,S,,S,,,,,R,S,S,,S,,R,
ERR2517012,PRJEB26001,,,ERS2401689,ERX2536227,S,,S,,,,R,R,S,S,,S,,R,
ERR2516879,PRJEB26001,,,ERS2401556,ERX2536094,S,,S,,,,R,R,S,S,,S,,R,
