accession,rifampicin,isoniazid,pyrazinamide,ethambutol,streptomycin,fluoroquinolones,moxifloxacin,ofloxacin,levofloxacin,ciprofloxacin,aminoglycosides,amikacin,kanamycin,capreomycin,ethionamide,para-aminosalicylic_acid,cycloserine
SRR671821,R,R,ND,R,R,ND,ND,R,ND,ND,ND,ND,R,R,R,ND,ND
SRR8651577,R,R,R,R,R,ND,R,ND,R,ND,ND,R,R,R,ND,S,ND
SRR1168979,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1169009,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1174829,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR671811,R,R,ND,R,R,ND,ND,R,ND,ND,ND,ND,S,R,R,ND,ND
ERR1035013,R,R,ND,S,ND,ND,ND,R,ND,ND,ND,R,ND,ND,S,ND,ND
ERR1873451,R,R,R,R,S,ND,S,R,ND,ND,ND,R,R,R,S,S,S
ERR1873438,R,R,S,R,R,ND,S,R,ND,ND,ND,R,R,R,R,S,R
ERR1035076,R,R,ND,R,ND,ND,ND,R,ND,ND,ND,R,ND,ND,S,ND,ND
ERR1873559,R,R,R,R,S,ND,R,R,ND,ND,ND,R,R,S,R,S,S
ERR1873558,R,R,R,R,S,ND,S,R,ND,ND,ND,R,R,R,R,S,S
ERR1873457,R,R,R,R,S,ND,S,R,ND,ND,ND,R,R,R,S,S,S
ERR1873487,R,R,R,S,R,ND,R,R,ND,ND,ND,S,R,R,S,S,R
ERR1035023,R,R,ND,S,ND,ND,ND,R,ND,ND,ND,R,ND,ND,S,ND,ND
ERR1035069,R,R,ND,S,ND,ND,ND,R,ND,ND,ND,R,ND,ND,S,ND,ND
ERR1035079,R,R,ND,S,ND,ND,ND,R,ND,ND,ND,R,ND,ND,R,ND,ND
ERR1873527,R,R,R,R,R,ND,S,R,ND,ND,ND,R,R,R,R,S,S
ERR1873479,R,R,S,S,S,ND,R,R,ND,ND,ND,R,R,R,S,S,S
ERR1873469,R,R,R,S,S,ND,R,R,ND,ND,ND,R,R,R,S,S,S
ERR1873478,R,R,R,R,S,ND,S,R,ND,ND,ND,R,R,R,S,S,S
ERR1873501,R,R,R,R,S,ND,S,R,ND,ND,ND,R,R,R,R,S,S
ERR1873499,R,R,R,R,S,ND,S,R,ND,ND,ND,R,R,R,R,S,R
SRR1062819,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR1873565,R,R,R,R,S,ND,S,R,ND,ND,ND,R,R,R,R,S,S
ERR1873557,R,R,R,R,S,ND,S,R,ND,ND,ND,R,R,R,R,S,S
ERR1873491,R,R,R,R,S,ND,R,R,ND,ND,ND,R,R,R,S,S,S
ERR1873481,R,R,R,R,S,ND,S,R,ND,ND,ND,R,R,R,R,S,S
ERR067722,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR8651583,R,R,R,R,R,ND,R,ND,R,ND,ND,R,R,R,ND,S,ND
ERR1035078,R,R,ND,R,ND,ND,ND,R,ND,ND,ND,R,ND,ND,S,ND,ND
ERR1873477,R,R,R,R,R,ND,R,R,ND,ND,ND,R,R,R,R,S,S
SRR1181072,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR158596,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR133890,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR234657,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR067672,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR1034861,R,R,R,ND,R,ND,ND,R,ND,ND,ND,R,R,S,S,S,R
ERR158580,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR137208,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR234661,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR067724,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR5761429,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR867532,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR867522,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1169063,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1180922,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1169001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR133908,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR144620,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR158585,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR133906,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR234641,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR133854,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR234560,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR067754,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR117453,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR067761,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR144600,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR234622,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR067762,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
