run,bioproject,biosample,isoniazid,rifampicin,ethambutol,pyrazinamide,amikacin,capreomycin,kanamycin,moxifloxacin,levofloxacin
ERR7911325,PRJEB48275,SAMEA10029931,R,R,S,R,S,S,S,S,S
ERR7911326,PRJEB48275,SAMEA10029932,R,R,S,R,R,S,R,S,S
ERR7911176,PRJEB48275,SAMEA10029933,R,R,S,R,S,S,S,S,S
ERR7911177,PRJEB48275,SAMEA10029934,R,S,S,S,S,S,S,S,S
ERR7911178,PRJEB48275,SAMEA10029935,R,R,R,R,S,S,S,S,S
ERR7911179,PRJEB48275,SAMEA10029936,R,R,R,R,S,S,S,S,S
ERR7911327,PRJEB48275,SAMEA10029937,R,R,R,R,S,S,S,S,S
ERR7911180,PRJEB48275,SAMEA10029938,R,R,S,S,S,S,S,S,S
ERR7911181,PRJEB48275,SAMEA10029939,R,R,R,S,S,S,S,S,S
ERR7911182,PRJEB48275,SAMEA10029940,R,R,R,S,S,S,S,S,S
ERR7911183,PRJEB48275,SAMEA10029941,R,R,S,R,S,S,S,S,S
ERR7911184,PRJEB48275,SAMEA10029942,R,R,R,R,S,S,S,S,S
ERR7911185,PRJEB48275,SAMEA10029943,R,S,S,S,S,S,S,S,S
ERR7911186,PRJEB48275,SAMEA10029944,S,S,S,S,S,S,S,S,S
ERR7911187,PRJEB48275,SAMEA10029945,R,R,S,S,S,S,S,S,S
ERR7911328,PRJEB48275,SAMEA10029946,R,R,S,S,S,S,S,S,S
ERR7911188,PRJEB48275,SAMEA10029947,R,R,R,R,S,S,S,S,S
ERR7911329,PRJEB48275,SAMEA10029948,R,R,R,R,S,S,S,S,S
ERR7911330,PRJEB48275,SAMEA10029949,R,R,S,S,S,S,S,R,R
ERR7911331,PRJEB48275,SAMEA10029950,R,R,R,R,S,S,S,S,S
ERR7911332,PRJEB48275,SAMEA10029951,R,R,R,S,S,S,S,S,S
ERR7911333,PRJEB48275,SAMEA10029952,R,R,S,S,S,S,S,S,S
ERR7911334,PRJEB48275,SAMEA10029953,R,R,S,S,S,S,S,S,S
ERR7911274,PRJEB48275,SAMEA10029954,R,R,,S,S,S,S,S,S
ERR7911275,PRJEB48275,SAMEA10029955,R,R,R,R,S,S,S,S,S
ERR7911276,PRJEB48275,SAMEA10029956,R,R,R,R,S,S,S,S,S
ERR7911277,PRJEB48275,SAMEA10029957,R,R,R,R,S,S,S,S,S
ERR7911278,PRJEB48275,SAMEA10029958,R,R,R,R,S,S,S,S,S
ERR7911279,PRJEB48275,SAMEA10029959,R,R,R,S,S,S,S,S,S
ERR7911280,PRJEB48275,SAMEA10029960,R,R,R,R,S,S,S,S,S
ERR7911281,PRJEB48275,SAMEA10029961,R,R,S,S,S,S,S,S,S
ERR7911282,PRJEB48275,SAMEA10029962,R,R,R,R,S,S,S,S,S
ERR7911283,PRJEB48275,SAMEA10029963,R,R,R,S,S,S,S,S,S
ERR7911284,PRJEB48275,SAMEA10029964,R,R,S,R,S,S,S,S,S
ERR7911285,PRJEB48275,SAMEA10029965,R,R,R,S,S,S,S,S,S
ERR7911286,PRJEB48275,SAMEA10029966,R,R,S,R,S,S,S,S,S
ERR7911287,PRJEB48275,SAMEA10029967,R,R,R,R,S,S,S,S,S
ERR7911288,PRJEB48275,SAMEA10029968,R,R,R,R,R,R,R,S,S
ERR7911289,PRJEB48275,SAMEA10029969,R,R,S,R,S,S,S,S,S
ERR7911290,PRJEB48275,SAMEA10029970,R,R,R,S,S,S,S,S,S
