run,amikacin,bedaquiline,bioproject,biosample,capreomycin,ciprofloxacin,clofazimine,cycloserine,delamanid,ethambutol,ethionamide,gatifloxacin,isoniazid,kanamycin,levofloxacin,linezolid,moxifloxacin,ofloxacin,para-aminosalicylic_acid,pyrazinamide,rifabutin,rifampicin,streptomycin,thioacetazone
ERR039329,,,PRJEB2221,SAMEA961643,,,,,,S,,,S,,,,,,,S,,S,,
ERR039330,,,PRJEB2221,SAMEA961659,,,,,,S,,,S,,,,,,,S,,S,,
ERR039331,,,PRJEB2221,SAMEA961658,,,,,,S,,,S,,,,,,,S,,S,,
ERR039332,,,PRJEB2221,SAMEA961657,,,,,,S,,,S,,,,,,,S,,S,,
ERR039333,,,PRJEB2221,SAMEA961656,,S,,,,S,,,S,,,,,,,S,,S,,
ERR039334,,,PRJEB2221,SAMEA961655,,,,,,S,,,S,,,,,,,S,,S,,
ERR039335,,,PRJEB2221,SAMEA961654,,S,,,,S,,,S,,,,,,,S,,S,S,
ERR039336,,,PRJEB2221,SAMEA961653,,S,,,,S,,,S,,,,,,,S,,S,,
ERR039337,,,PRJEB2221,SAMEA961652,,,,,,S,,,S,,,,,,,S,,S,S,
ERR039338,,,PRJEB2221,SAMEA961651,,,,,,S,,,S,,,,,,,S,,S,,
ERR039339,,,PRJEB2221,SAMEA961650,,,,,,S,,,S,,,,,,,S,,S,,
ERR039340,,,PRJEB2221,SAMEA961660,,,,,,S,,,S,,,,,,,S,,S,,
ERR039341,,,PRJEB2221,SAMEA961661,,,,,,S,,,S,,,,,,,S,,S,,
ERR039342,,,PRJEB2221,SAMEA961662,,,,,,S,,,S,,,,,,,S,,S,,
ERR039343,,,PRJEB2221,SAMEA961663,,,,,,S,,,S,,,,,,,S,,S,,
ERR039344,,,PRJEB2221,SAMEA961664,,,,,,S,,,S,,,,,,,S,,S,S,
ERR039345,,,PRJEB2221,SAMEA961665,,S,,,,S,,,S,,,,,,,S,,S,R,
ERR039346,,,PRJEB2221,SAMEA961666,,,,,,S,,,S,,,,,,,S,,S,,
ERR040086,,,PRJEB2221,SAMEA961626,,,,,,S,,,S,,,,,,,S,,S,S,
ERR040087,,,PRJEB2221,SAMEA961629,,,,,,S,,,S,,,,,,,S,,S,,
ERR040088,,,PRJEB2221,SAMEA961628,,,,,,S,,,S,,,,,,,S,,S,,
ERR040089,,,PRJEB2221,SAMEA961631,,,,,,S,,,S,,,,,,,S,,S,,
ERR040090,,,PRJEB2221,SAMEA961630,,S,,,,S,,,S,,,,,,,S,,S,,
ERR040091,,,PRJEB2221,SAMEA961634,,,,,,S,,,S,,,,,,,S,,S,,
ERR040093,,,PRJEB2221,SAMEA961632,,,,,,S,,,S,,,,,,,S,,S,,
ERR040094,,,PRJEB2221,SAMEA961633,,,,,,S,,,S,,,,,,,S,,S,,
ERR040095,,,PRJEB2221,SAMEA961638,,,,,,S,,,S,,,,,,,S,,S,,
ERR040096,,,PRJEB2221,SAMEA961639,,,,,,S,,,S,,,,,,,S,,S,,
ERR040097,,,PRJEB2221,SAMEA961636,,,,,,S,,,S,,,,,,,S,,S,,
ERR040098,,,PRJEB2221,SAMEA961637,,,,,,S,,,S,,,,,,,S,,S,,
ERR040099,,,PRJEB2221,SAMEA961649,,,,,,S,,,S,,,,,,,S,,S,,
ERR040100,,,PRJEB2221,SAMEA961621,,,,,,S,,,S,,,,,,,S,,S,,
